T_2	p_a	Leitungs des Kompressors	T_1	p_b
21.5	4	0	21.4	4
21.5	3.1	115	22.4	5
20.3	3.2	115	23.7	5.5
18.8	3.5	120	25.6	6
17.5	3.6	125	26.8	6
16.2	3.6	122.5	28.6	6.5
15.2	3.4	122.5	29.9	6.8
14.1	3.2	121	31.4	7
13	3.1	121	32.8	7.2
12	3	122.5	34.2	7.8
11	2.8	122.5	35.2	8
10	2.8	125	36.5	8.1
9.1	2.6	125	37.6	8.5
8.3	2.6	128	38.7	8.8
7.3	2.5	129	39.8	9
6.5	2.4	115	40.8	9.1
5.7	2.3	115	41.7	9.2
4.9	2.2	115	42.5	9.8
4.2	2.2	115	43.3	10
3.5	2.1	115	44.1	10
2.8	2	115	44.9	10.2
2	2	115	46.1	10.5
1.6	1.9	115	46.4	10.8
1	1.8	115	47.1	11
0.4	1.8	115	47.6	11
-0.2	1.8	115	48.3	11.1
-0.7	1.8	112.5	48.9	11.2
-1.2	1.8	110	49.4	11.5
